StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16 
2020-10-16 17:25:22,2020-10-16 17:26:49,IP Address,100,86,True,2020-10-16 17:26:50,R_3ikZPh54hkdUpAp,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, slightly less",1-3,Increased,Decreased,Not changed,Increased,"No, I use them significantly less",Decline to State,Female,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Senior,No,In California with family
2020-10-16 17:31:17,2020-10-16 17:32:36,IP Address,100,78,True,2020-10-16 17:32:36,R_T6fyTWZIjxH7EE9,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",1-3,Not changed,Decreased,Not changed,Increased,"Yes, I use them slightly more",Asian American,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Junior,No,In Berkeley/Campus Housing
2020-10-16 18:54:53,2020-10-16 18:57:10,IP Address,100,137,True,2020-10-16 18:57:10,R_2DMs6IAAfFslFDT,anonymous,EN,I consent to participate in this survey.,No change,"Yes, slightly more",0,Not changed,Decreased,Decreased,Decreased,No change,Asian American,Female,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Junior,No,In California with peers or alone
2020-10-16 20:04:02,2020-10-16 20:05:04,IP Address,100,61,True,2020-10-16 20:05:04,R_3GcsLdbH0F3iZq8,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, slightly less",1-3,Increased,Decreased,Increased,Decreased,No change,Asian American,Male,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Senior,No,Outside California with family
2020-10-16 20:04:03,2020-10-16 20:05:38,IP Address,100,95,True,2020-10-16 20:05:38,R_T8aZkirqBhk2YOl,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",1-3,Decreased,Decreased,Decreased,Decreased,"No, I use them significantly less",Decline to State,Decline to state,L&S Undeclared/Undecided on Major,Sophomore,No,In California with peers or alone
2020-10-16 21:24:31,2020-10-16 21:25:50,IP Address,100,79,True,2020-10-16 21:25:50,R_eRn4yR66bi7TVyp,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",1-3,Decreased,Not changed,Not changed,Decreased,"Yes, I use them significantly more",Decline to State,Female,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Junior,No,In California with peers or alone
2020-10-16 22:16:42,2020-10-16 22:19:53,IP Address,100,191,True,2020-10-16 22:19:53,R_2bZEbDQlWYoXcVW,anonymous,EN,I consent to participate in this survey.,No change,"No, slightly less",1-3,Increased,Decreased,Not changed,Decreased,No change,White,Female,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Junior,No,Outside California with peers or alone
2020-10-16 22:32:39,2020-10-16 22:33:57,IP Address,100,77,True,2020-10-16 22:33:57,R_3piqJNzjDu5HF2a,anonymous,EN,I consent to participate in this survey.,No change,No change,0,Increased,Decreased,Decreased,Not changed,"Yes, I use them significantly more",White,Male,College of Engineering,Junior,No,In California with family
2020-10-17 00:32:45,2020-10-17 00:33:56,IP Address,100,71,True,2020-10-17 00:33:57,R_3FORuE5scipYkc3,anonymous,EN,I consent to participate in this survey.,"No, slightly less","No, significantly less",1-3,Decreased,Decreased,Decreased,Increased,No change,Asian American,Female,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Junior,No,In California with family
2020-10-17 00:49:13,2020-10-17 00:50:58,IP Address,100,105,True,2020-10-17 00:50:59,R_3MbPrMcbBP4cpr1,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",1-3,Increased,Decreased,Decreased,Increased,"No, I use them significantly less",Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In Berkeley/Campus Housing
2020-10-17 00:51:11,2020-10-17 00:52:29,IP Address,100,78,True,2020-10-17 00:52:29,R_2WP6Zkh3493m1fJ,anonymous,EN,I consent to participate in this survey.,No change,"Yes, slightly more",1-3,Increased,Decreased,Decreased,Decreased,"No, I use them significantly less",White,Female,College of Chemistry,Senior,No,In California with peers or alone
2020-10-17 00:59:13,2020-10-17 01:00:35,IP Address,100,82,True,2020-10-17 01:00:36,R_DwpSC3aGG43ouat,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",0,Not changed,Decreased,Decreased,Increased,No change,White,Female,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Junior,Yes,In Berkeley/Co-ops
2020-10-17 02:01:07,2020-10-17 02:04:01,IP Address,100,173,True,2020-10-17 02:04:01,R_3EyTOrgdm6FHtX1,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",1-3,Not changed,Not changed,Not changed,Not changed,"Yes, I use them significantly more",International student,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,Outside California with family
2020-10-17 13:32:48,2020-10-17 13:34:49,IP Address,100,121,True,2020-10-17 13:34:49,R_bELjliGBZZkmF0t,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more",No change,4-6,Not changed,Not changed,Decreased,Increased,No change,White,Female,"L&S Undergraduate Studies Division (e.g., American Studies, Applied Languages, Creative Writing, Data Science, Disability Studies, Interdisciplinary Studies, Media Studies)",Sophomore,No,In California with peers or alone
2020-10-17 14:04:44,2020-10-17 14:08:09,IP Address,100,204,True,2020-10-17 14:08:09,R_1ieplrTIOpwBb38,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, significantly less",0,Decreased,Not changed,Not changed,Not changed,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,Yes,In California with family
2020-10-17 21:47:50,2020-10-17 21:49:16,IP Address,100,85,True,2020-10-17 21:49:16,R_54SyK7VEotGPjA5,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",0,Increased,Decreased,Not changed,Increased,"Yes, I use them significantly more",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-17 23:55:27,2020-10-17 23:59:00,IP Address,100,213,True,2020-10-17 23:59:00,R_vwqtcr5a0VvJyz7,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",1-3,Not changed,Decreased,Decreased,Not changed,No change,White,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",5th year or higher,No,In Berkeley/Co-ops
2020-10-18 12:53:31,2020-10-18 12:55:16,IP Address,100,104,True,2020-10-18 12:55:16,R_1JUu2tgu1TuCVZ9,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",1-3,Not changed,Decreased,Increased,Decreased,"No, I use them significantly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-18 13:12:52,2020-10-18 13:17:35,IP Address,100,282,True,2020-10-18 13:17:35,R_vcBr27IofZbQg01,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, significantly less",0,Decreased,Decreased,Decreased,Decreased,"Yes, I use them slightly more",African American/Black,Female,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Junior,No,In California with family
2020-10-18 13:38:20,2020-10-18 13:39:22,IP Address,100,62,True,2020-10-18 13:39:22,R_AL1lfhqBp52W8Vj,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",1-3,Not changed,Decreased,Decreased,Not changed,No change,Asian American,Male,College of Natural Resources,Junior,No,In Berkeley/Co-ops
2020-10-18 14:30:35,2020-10-18 14:33:39,IP Address,100,183,True,2020-10-18 14:33:39,R_3iU69ZqdHaHPqAw,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",0,Decreased,Decreased,Decreased,Decreased,No change,White,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Senior,No,Outside California with family
2020-10-18 18:20:57,2020-10-18 18:24:15,IP Address,100,198,True,2020-10-18 18:24:15,R_1qdMQSHpo0THW4X,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, significantly less",1-3,Decreased,Decreased,Decreased,Decreased,"Yes, I use them slightly more",Asian American,Female,College of Environmental Design,Senior,No,Outside California with family
2020-10-18 20:15:52,2020-10-18 20:17:05,IP Address,100,72,True,2020-10-18 20:17:05,R_3ehgt05bB8HE0y5,anonymous,EN,I consent to participate in this survey.,No change,"Yes, significantly more",4-6,Increased,Decreased,Decreased,Not changed,No change,African American/Black,Nonbinary,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Senior,No,In California with peers or alone
2020-10-18 20:26:41,2020-10-18 20:27:59,IP Address,100,77,True,2020-10-18 20:27:59,R_3RshUtsBYoDrdaZ,anonymous,EN,I consent to participate in this survey.,No change,"No, slightly less",1-3,Not changed,Decreased,Decreased,Increased,"No, I use them significantly less",Asian American,Female,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Junior,No,In California with peers or alone
2020-10-18 22:05:08,2020-10-18 22:13:36,IP Address,100,508,True,2020-10-18 22:13:36,R_Q4XKUIQBCmXbUwV,anonymous,EN,I consent to participate in this survey.,No change,"Yes, slightly more",1-3,Not changed,Not changed,Increased,Increased,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-18 22:13:41,2020-10-18 22:17:56,IP Address,100,254,True,2020-10-18 22:17:56,R_2YeWai6pjIxAAVF,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",0,Not changed,Not changed,Not changed,Not changed,No change,Decline to State,Male,College of Engineering,Junior,No,Outside California with peers or alone
2020-10-18 22:18:10,2020-10-18 22:21:30,IP Address,100,200,True,2020-10-18 22:21:30,R_VUbVNeTWwnlcj0l,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",0,Not changed,Not changed,Not changed,Not changed,No change,Chicanx/Latinx,Male,L&S Undeclared/Undecided on Major,Junior,No,Outside California with peers or alone
2020-10-18 23:58:18,2020-10-18 23:59:59,IP Address,100,101,True,2020-10-19 00:00:00,R_26bifgYbtUKxtNA,anonymous,EN,I consent to participate in this survey.,No change,"Yes, slightly more",0,Not changed,Decreased,Not changed,Increased,"Yes, I use them slightly more",Chicanx/Latinx,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-19 01:09:52,2020-10-19 01:11:20,IP Address,100,87,True,2020-10-19 01:11:20,R_1MM0yrz6nNz5yy5,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",0,Decreased,Decreased,Decreased,Decreased,No change,Decline to State,Female,College of Engineering,Junior,No,In California with peers or alone
2020-10-19 01:25:48,2020-10-19 01:26:47,IP Address,100,59,True,2020-10-19 01:26:47,R_9HObVe2ZxSNfRkJ,anonymous,EN,I consent to participate in this survey.,No change,No change,0,Increased,Decreased,Decreased,Decreased,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with family
2020-10-19 01:47:47,2020-10-19 01:49:17,IP Address,100,89,True,2020-10-19 01:49:17,R_1pnu2QDPoxgOG5K,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",0,Not changed,Decreased,Decreased,Decreased,No change,Asian American,Female,College of Chemistry,Junior,No,In California with peers or alone
2020-10-19 02:29:00,2020-10-19 02:31:18,IP Address,100,137,True,2020-10-19 02:31:18,R_1pMRCYfs27wsfwN,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, significantly less",0,Not changed,Not changed,Not changed,Increased,No change,Asian American,Female,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Senior,No,In California with peers or alone
2020-10-19 02:32:21,2020-10-19 02:34:08,IP Address,100,107,True,2020-10-19 02:34:08,R_2aG2sH1C5l74FvO,anonymous,EN,I consent to participate in this survey.,No change,"No, significantly less",0,Not changed,Decreased,Decreased,Decreased,"No, I use them slightly less",Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with family
2020-10-19 10:11:36,2020-10-19 10:13:23,IP Address,100,106,True,2020-10-19 10:13:23,R_2f7L26GIlhj1NGV,anonymous,EN,I consent to participate in this survey.,No change,"Yes, slightly more",0,Increased,Decreased,Decreased,Decreased,"No, I use them slightly less",Asian American,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Junior,No,In California with family
2020-10-19 12:18:18,2020-10-19 12:19:49,IP Address,100,90,True,2020-10-19 12:19:49,R_2ylmRWBSfd9hoqg,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,1-3,Decreased,Decreased,Decreased,Increased,"No, I use them slightly less",Asian American,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",5th year or higher,No,In California with peers or alone
2020-10-19 12:58:32,2020-10-19 13:00:16,IP Address,100,104,True,2020-10-19 13:00:16,R_xzSo6lnUOTdLjBT,anonymous,EN,I consent to participate in this survey.,No change,"Yes, significantly more",4-6,Not changed,Decreased,Not changed,Not changed,No change,White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with peers or alone
2020-10-19 14:47:03,2020-10-19 14:48:42,IP Address,100,99,True,2020-10-19 14:48:43,R_33a6CNVd8TcYYOD,anonymous,EN,I consent to participate in this survey.,"No, slightly less","Yes, significantly more",1-3,Increased,Decreased,Decreased,Decreased,"No, I use them slightly less",Asian American,Female,College of Natural Resources,Sophomore,No,In California with peers or alone
2020-10-19 16:41:02,2020-10-19 16:43:02,IP Address,100,120,True,2020-10-19 16:43:03,R_3pcn002gONQVf1n,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,1-3,Increased,Decreased,Decreased,Not changed,No change,Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,Yes,Outside California with family
2020-10-19 16:44:06,2020-10-19 16:46:14,IP Address,100,127,True,2020-10-19 16:46:14,R_1FBiVa6rD9U2UVP,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",1-3,Increased,Decreased,Decreased,Decreased,No change,Chicanx/Latinx,Female,College of Natural Resources,Junior,No,Outside California with family
2020-10-19 16:47:56,2020-10-19 16:49:14,IP Address,100,78,True,2020-10-19 16:49:15,R_0k7heaOF1eUdctz,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,0,Not changed,Not changed,Not changed,Not changed,"Yes, I use them slightly more",Chicanx/Latinx,Female,College of Natural Resources,Sophomore,No,In Berkeley/Greek Life Housing
2020-10-19 16:48:14,2020-10-19 16:49:43,IP Address,100,88,True,2020-10-19 16:49:43,R_3qWPioIWZVp9iQx,anonymous,EN,I consent to participate in this survey.,No change,"No, significantly less",1-3,Not changed,Decreased,Decreased,Increased,No change,Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with peers or alone
2020-10-19 16:47:45,2020-10-19 16:50:25,IP Address,100,159,True,2020-10-19 16:50:25,R_3imVZGQfFX4958l,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",1-3,Increased,Decreased,Decreased,Not changed,No change,Chicanx/Latinx,Male,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Junior,No,In Berkeley/Campus Housing
2020-10-19 16:46:22,2020-10-19 16:50:25,IP Address,100,242,True,2020-10-19 16:50:25,R_ut8xxiTDgCPPGCZ,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",0,Not changed,Decreased,Decreased,Increased,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with family
2020-10-19 17:01:59,2020-10-19 17:03:08,IP Address,100,68,True,2020-10-19 17:03:08,R_2S82rCPJ6LTfVwV,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",1-3,Increased,Decreased,Decreased,Increased,"No, I use them slightly less",Asian American,Female,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Senior,No,In California with family
2020-10-19 17:05:47,2020-10-19 17:06:44,IP Address,100,57,True,2020-10-19 17:06:45,R_3GfHH1HelgYEbcx,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",0,Decreased,Decreased,Decreased,Increased,"No, I use them significantly less",Asian American,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Senior,No,In California with family
2020-10-19 17:18:12,2020-10-19 17:19:13,IP Address,100,60,True,2020-10-19 17:19:13,R_248bifvDJlBO67h,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",1-3,Decreased,Decreased,Not changed,Not changed,No change,Decline to State,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,Yes,In California with family
2020-10-19 17:45:40,2020-10-19 17:47:53,IP Address,100,132,True,2020-10-19 17:47:53,R_31SemY9Rfx1tLLr,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",1-3,Not changed,Decreased,Decreased,Decreased,"Yes, I use them significantly more",Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with family
2020-10-19 18:05:29,2020-10-19 18:07:19,IP Address,100,109,True,2020-10-19 18:07:19,R_2TttlBwhT6QnYcB,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, significantly less",1-3,Decreased,Decreased,Not changed,Increased,No change,Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,Yes,In California with peers or alone
2020-10-19 18:08:57,2020-10-19 18:10:39,IP Address,100,101,True,2020-10-19 18:10:40,R_31tKeBvp5PIwfNe,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more",No change,0,Not changed,Decreased,Decreased,Decreased,"No, I use them significantly less",Chicanx/Latinx,Female,College of Chemistry,Sophomore,No,In California with family
2020-10-19 18:50:23,2020-10-19 18:51:30,IP Address,100,67,True,2020-10-19 18:51:31,R_1C7kl3yAOzKat2I,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",1-3,Decreased,Decreased,Decreased,Not changed,No change,Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Sophomore,No,In California with family
2020-10-19 19:25:18,2020-10-19 19:27:22,IP Address,100,124,True,2020-10-19 19:27:23,R_1drUyUebopjo8Hf,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, significantly less",0,Increased,Decreased,Decreased,Decreased,No change,White,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Sophomore,No,In California with family
2020-10-19 19:32:36,2020-10-19 19:37:21,IP Address,100,285,True,2020-10-19 19:37:21,R_1cYN9LUUrivekvP,anonymous,EN,I consent to participate in this survey.,No change,"Yes, slightly more",0,Not changed,Not changed,Decreased,Decreased,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In Berkeley/Campus Housing
2020-10-19 19:38:15,2020-10-19 19:39:35,IP Address,100,80,True,2020-10-19 19:39:35,R_3k86huphu9EGAC0,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",0,Not changed,Decreased,Decreased,Not changed,"No, I use them slightly less",Asian American,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Senior,No,In Berkeley/Campus Housing
2020-10-19 20:06:59,2020-10-19 20:08:09,IP Address,100,69,True,2020-10-19 20:08:09,R_RJ5oxMziu4BIf9n,anonymous,EN,I consent to participate in this survey.,No change,"Yes, significantly more",1-3,Increased,Decreased,Decreased,Increased,"Yes, I use them significantly more",White,Female,College of Natural Resources,Junior,No,In California with peers or alone
2020-10-19 20:19:51,2020-10-19 20:21:13,IP Address,100,82,True,2020-10-19 20:21:14,R_2BguA6L4aoRx6Xu,anonymous,EN,I consent to participate in this survey.,No change,No change,1-3,Not changed,Decreased,Decreased,Increased,"No, I use them slightly less",Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In Berkeley/Campus Housing
2020-10-19 20:23:27,2020-10-19 20:25:18,IP Address,100,111,True,2020-10-19 20:25:19,R_1GOGsusP5uToC0o,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",4-6,Decreased,Decreased,Increased,Decreased,"No, I use them slightly less",African American/Black,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In Berkeley/Campus Housing
2020-10-19 20:29:14,2020-10-19 20:30:42,IP Address,100,88,True,2020-10-19 20:30:42,R_31salmZDXXm3q7e,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,1-3,Not changed,Decreased,Decreased,Not changed,No change,Decline to State,Female,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Junior,No,In California with family
2020-10-19 21:01:38,2020-10-19 21:03:12,IP Address,100,94,True,2020-10-19 21:03:13,R_33vamGvDczH9hqD,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,1-3,Decreased,Not changed,Not changed,Increased,"Yes, I use them slightly more",Asian American,Female,L&S Undeclared/Undecided on Major,Freshman,No,In California with family
2020-10-19 21:07:49,2020-10-19 21:09:58,IP Address,100,128,True,2020-10-19 21:09:58,R_3J4bXyhgnoYu0kp,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",4-6,Increased,Decreased,Decreased,Not changed,No change,Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,Yes,In California with family
2020-10-19 22:03:20,2020-10-19 22:04:50,IP Address,100,89,True,2020-10-19 22:04:50,R_9ypzy8uIpqfnPuF,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",1-3,Not changed,Decreased,Decreased,Decreased,"No, I use them slightly less",Asian American,Female,"L&S Undergraduate Studies Division (e.g., American Studies, Applied Languages, Creative Writing, Data Science, Disability Studies, Interdisciplinary Studies, Media Studies)",Senior,No,In California with family
2020-10-19 23:43:53,2020-10-19 23:45:42,IP Address,100,109,True,2020-10-19 23:45:43,R_2qrUOMDTe7FVVuL,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,0,Decreased,Not changed,Decreased,Increased,"No, I use them slightly less",Chicanx/Latinx,Female,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Senior,No,In California with family
2020-10-20 00:54:25,2020-10-20 00:55:33,IP Address,100,67,True,2020-10-20 00:55:33,R_3n8mBQBt0NKRWK7,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,1-3,Increased,Decreased,Not changed,Decreased,No change,Asian American,Male,College of Engineering,Junior,No,In California with family
2020-10-20 01:45:06,2020-10-20 01:47:52,IP Address,100,166,True,2020-10-20 01:47:52,R_BxEX2CoRP8ABq6Z,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,1-3,Not changed,Not changed,Not changed,Not changed,No change,Asian American,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with family
